active_carriers_public_types_and_formats_only	total
DVD; Documentation	2
DVD; Back-up	164
MOV file H264; ACMI Digital Access Copy - presentation	327
VHS [PAL]; Preview Copy	94
CD ROM; Master	108
DVD; Copy	45
35mm slide; Documentation	5
VHS; Reference - timecoded	7
DVD ROM; Back-up	11
DVD [NTSC]; Archive copy - not for public screening	1
CD ROM; Documentation	14
DVCPRO; Documentation	1
VHS [NTSC]; Access Print (Section 1)	1
VHS, Audio Cassette, Text; Access Print (Section 1)	7
MOV file ProRes4444; Digital Preservation Master - presentation	211
CD ROM [Mac]; Copy	49
DVD [NTSC]; Copy	1
MPEG-2 Digital File; Memory Grid Pod Full Encode	595
MPEG-1 Digital File - 2MB Rate; Copy	135
Mixed; Copy	1
16mm film, CD-R; Master	1
VHS [NTSC]; Preview Copy	12
U-Matic; Master	8
DVD ROM; Copy	82
CD ROM; Exhibition Copy	3
VHS [NTSC]; Copy	1
DVD ROM; Master	10
Mini DV; Documentation	24
VHS; Access Print (Section 1)	35374
MOV file ProRes4444; Digital Preservation Master - overscan	87
CD ROM [PC/Mac]; Master	23
VHS [PAL]; Copy	281
1/2 inch videotape; Master	2
35mm film; Master	2
HDCAM; Master	105
16mm film; Access Print (Section 1)	21204
VHS; Preservation Print (Section 5)	48
DVCAM; Sub-master	735
16mm film; Preservation Print (Section 5)	3724
16mm film; Master	37
Zip Disk; Documentation	4
CD ROM [PC]; Documentation	4
CD ROM [PC/Mac]; Preview Copy	1
DVD [NTSC]; Master	15
SP Betacam; Copy	8
VHS, Text; Access Print (Section 1)	47
VHS; Documentation	11
SP Betacam; Sub-master	39
Digital Betacam [PAL]; Archive copy - not for public screening	3
CD-R; Master	26
Brochure / Flyer; Documentation	3
CD-R; Sub-master	1
VHS [PAL]; Sub-master	1
VHS [PAL]; Documentation	18
CD-R; Copy	28
3.5 inch floppy disc; Copy	1
DVD ROM; Preview Copy	2
DVD [PAL]; Back-up	143
DVD [PAL]; Archive copy - not for public screening	94
DVD [PAL]; Access Print (Section 1)	286
Mini DV; Master	459
35mm film; Limited Access Print (Section 2)	80
8mm film; Master	10
DVD [PAL]; Master	282
CD ROM [PC/Mac]; Copy	17
CD ROM; Back-up	16
Audio Cassette; Copy	2
DVD; Archive copy - not for public screening	2
Laser Disc [NTSC]; Master	1
MOV file H264; ACMI Digital Access Copy - overscan	1
U-Matic; Access Print (Section 1)	439
VHS [PAL]; Access Print (Section 1)	3
16mm film; Limited Access Print (Section 2)	8144
DVD [PAL]; Copy	499
CD ROM; Access Print (Section 1)	197
CD ROM [Mac]; Preview Copy	3
16mm film; Copy	48
CD ROM [PC]; Master	39
CD ROM; Preview Copy	2
Digital Betacam; Sub-master	539
Digital Betacam [NTSC]; Master	35
VHS; Preview Copy	13
DVD [PAL]; Preview Copy	16
CD ROM [Mac]; Master	29
VHS; Copy	58
Digital Betacam [PAL]; Master	737
Text; Access Print (Section 1)	55
DVCAM; Master	1472
VHS [PAL]; Master	3
Audio Cassette; Master	5
Audio Cassette, Text; Access Print (Section 1)	23
CD ROM; Copy	99
DVD; Access Print (Section 1)	3772
DVD [PAL]; Documentation	13
DVD [PAL]; Exhibition Copy	327
Mini DV; Sub-master	323
DVD [NTSC]; Exhibition Copy	3
CD ROM [PC]; Copy	40
VHS [PAL]; Reference - timecoded	2382
Beta; Access Print (Section 1)	101
Digital Betacam [PAL]; Sub-master	943
SP Betacam; Master	218
VHS; Master	5
DVD ROM; Documentation	4
DVD; Master	12
CD ROM; Archive copy - not for public screening	2
Beta; Preservation Print (Section 5)	1
HDCAM; Sub-master	93
Text; Documentation	16
SP Betacam; Documentation	2
	1255
DVD; Sub-master	13
Mediatheque VoD Digital Access Copy	1250
U-Matic; Limited Access Print (Section 2)	2
DVD [PAL]; Sub-master	1
VHS; Limited Access Print (Section 2)	2
Digital Betacam; Master	379
