creation_date	total
Feb 1943	1
30 Nov 2001-01 Dec 2001	1
01 Jun 1973	1
28 Apr 1999	1
1953	389
1952	347
22 Apr 2013	1
1927	28
1977-1978	1
1993-1997	1
1993-1998	1
02 Jan 2001-01 Nov 2001	1
06 Sep 2004	1
1987-1989	1
1987-1988	1
1937	90
1936	90
1935	76
1934	80
1933	48
1932	46
1931	46
1950-1957	1
1939	87
1938	121
07 Sep 2013	1
Circa 1970	4
Circa 1972	1
Circa 1975	1
08 Oct 2010	1
1990-2000	1
Circa 1894	1
1936-1940	1
Oct 2009	13
Oct 2007	30
Apr 2008	10
Apr 2009	8
11 Aug 2000	1
Apr 2006	4
Apr 2007	7
25 Sep 2013	1
Jan 2008	10
30 Dec 2002	1
21 Mar 2002	1
12 Feb 2004-16 Apr 2004	6
23 Jun 2010	1
21 Feb 2011	1
2008	38
2009	83
2006	288
2007	142
2004	361
2005	306
2002	392
2003	284
2000	634
2001	462
Sep 2012	1
Sep 2010	10
1978-1979	1
04 Oct 2002	1
27 Mar 2013	1
1965-1970	1
01 Jan 1999-31 Dec 2000	1
Circa 1915-Circa 1918	1
Circa 1915-Circa 1916	2
Circa 1925	3
Circa 1924	1
Circa 1923	4
Circa 1920	1
1982-1984	1
Circa 1929	1
1979	805
1978	852
1973	886
1972	906
1971	765
1970	1016
1977	751
1976	833
1975	1182
1974	825
1997-1998	2
05 Oct 1999	1
1995	501
1994	574
1997	574
1996	497
1991	587
1990	652
1993	560
1992	719
1999	588
1998	566
1995-2001	1
17 Jul 2001-14 Aug 2001	1
1966-1992	1
1908	16
1909	25
1906	6
1907	2
1904	1
1905	8
1902	1
1903	1
1901	1
Aug 2007	12
1904-1909	1
1904-1907	1
(1986-2001)	1
1980-2001	1
1939-1948	1
1989-2005	1
1903-1904	4
1974-1975	1
1908-1912	1
01 Jan 2001-31 Dec 2001	1
03 Oct 1997	1
1970-1974	1
1979-1980	2
1971-1973	1
1991-1992	1
Jun 2009	13
Jun 2007	25
1998-1999	1
Unknown	1
1895	2
1896	2
1897	1
1898	1
1966-2001	1
1987-1997	1
27 Feb 2009	1
24 Jun 2010	1
1942	116
1943	141
1940	149
1941	123
1946	210
1947	328
1944	181
1945	259
1948	401
1949	366
08 May 2004	1
2001-2006	1
Circa 1963	1
Circa 1961	1
Circa 1965	8
22 Mar 2002	1
30 Oct 2008	5
19 Mar 2001	1
18 Nov 2010	2
Dec 2004	1
Dec 2007	9
Circa 2009	1
1981-1999	2
1921-1925	1
Jan 2010	7
Apr 2012	1
Apr 2011	21
Apr 2010	8
19 May 2002-22 May 2002	1
1989-1990	1
1989-1991	2
1989-1995	1
2015	36
2014	33
2017	1
2016	20
01 Jan 1990-31 Dec 1990	1
2010	76
24 Apr 2013	2
2012	60
12 Feb 2004-08 Jun 2004	3
Circa 1914-Circa 1915	1
Sep 2007	6
04 Oct 2010	1
Sep 2008	8
	2006
1973-2004	16
23 Nov 1999	1
2003-2005	2
2003-2004	2
02 Jul 2000	1
1986-1998	1
01 Jan 2001	1
Mar 2012	1
Mar 2010	4
Mar 2011	1
Circa 1912	1
29 Apr 2000	1
Circa 1910	1
2000-2005	1
2000-2002	1
Circa 1914	1
2000-2001	3
1996-2001	1
1996-2002	1
04 Apr 2001-06 Apr 2001	2
15 Apr 2008	1
Nov 2006	12
Nov 2007	11
Nov 2008	8
Nov 2009	6
1898-1903	1
05 Oct 2013	1
2005-2006	4
30 Jul 2007	1
1919	9
1918	9
1915	12
1914	9
1917	5
1916	20
1911	5
1910	11
1913	6
1912	9
Aug 2010	16
18 Oct 2002	1
Jul 2009	16
Feb 2008	8
Feb 2009	4
1899-1908	1
Feb 2007	31
05 Jun 2006	1
Jul 2008	11
19 Nov 2010	1
1977-1980	2
Jul 2007	13
1969-1976	1
30 Aug 2001	1
1976-1979	1
May 2008	6
May 2009	20
May 2007	24
1976-1996	1
1978-1999	1
Jun 2013	8
Jun 2012	2
Jun 2011	10
Jun 2010	24
10 Dec 2008	1
01 Mar 1999-02 Mar 1999	1
1984-1988	1
1994-1996	1
1984-1989	1
15 May 2006	1
06 Mar 2002	1
06 Nov 2003	2
[1994-1998]	1
1951	413
1950	607
1998-2001	2
1998-2000	3
1955	439
1954	448
1957	378
1956	357
1959	448
1958	399
1930	51
Circa 1950	3
Circa 1951	1
11 Apr 2014	4
15 Apr 1998	1
22 Aug 2013	1
28 Jun 2012	2
Circa 1950s-Circa 1960s	1
2004-2007	1
2004-2005	3
1999-2012	1
13 Aug 2000	1
26 Sep 2013	1
Nov 2010	10
14 Oct 2002	1
01 Sep 1999	1
01 Nov 2004	8
1956-1958	1
20 Nov 2003	1
10 Apr 2014	1
24 Jun 2002-14 Dec 2002	1
1986-1987	1
1986-1988	1
Mar 2007	18
1902-1908	1
1902-1907	1
Mar 2009	13
Mar 2008	7
1975-1978	2
Circa 1949	1
31 Oct 2008	3
31 Oct 2006	1
2002-2003	1
2002-2004	1
2002-2005	1
1996-1999	1
1996-1997	1
09 Apr 1998	1
05 Oct 2004	1
Circa 1985-Circa 1988	1
01 Jul 2001-01 Dec 2001	1
1959-1975	1
1983	816
20 Jun 2006	1
23 Mar 2002-30 Jun 2002	1
1928	21
1929	19
1920	17
1921	14
1922	10
1923	8
1924	17
1925	25
1926	20
27 Aug 2003-30 Dec 2005	1
2011	110
2013	42
Oct 2012	18
Feb 2012	2
Feb 2010	5
04 Sep 2004	1
17 Jul 2013	1
26 May 2000	1
Jul 2010	1
Jul 2012	8
Sep 2009	20
16 May 2006	1
1992-2004	1
1995-1997	1
1920-1960	1
1995-1998	1
01 Mar 2002-01 Sep 2002	1
1929-1980	1
10 Oct 2003-30 Nov 2003	2
01 Jul 2001	1
01 Mar 1999	1
1950s	1
Circa 1931	1
Circa 1932	1
Circa 1939	1
14 Nov 2008	1
06 Mar 2012	1
06 Oct 2010	1
03 Jul 1998	1
1968	651
1969	740
Sep 1918	1
1964	474
1965	670
1966	473
1967	621
1960	592
1961	480
1962	560
1963	489
Circa 1940	1
Circa 1942	1
Circa 1945	1
Circa 1946	1
26 Jun 2000	1
Circa 1948	1
1986	741
1987	827
1984	791
1985	720
1982	738
07 Nov 2006	1
1980	819
1981	771
09 Feb 2000	1
1988	817
1989	747
1999-2000	3
1999-2001	3
1999-2003	1
04 Jun 2009	1
12 Sep 2000	1
