genre	total
Animation/Paint on glass	4
Archival, Cinemagazines & Newsreels/Newsreels - Germany (West)	171
Travelogue	203
Childrens Films/Children's films - Great Britain	230
Documentary/Cinema verite	34
Childrens Films/Children's films - Italy	4
Action & Adventure/Disaster films	14
Animation/Anime	68
Comedy/Comedy sketches	12
Documentary/Documentary films - France	319
Experimental/Experimental films - Great Britain	76
Animation/Animated films - Denmark	10
Experimental/Experimental films - Germany	4
Fantasy & Science Fiction	636
Documentary/Documentary films - United States	3463
Amateur & Student Films/Amateur films	89
Childrens Films/Films by children	72
Childrens Films/Teen films	40
Adaptations/Film adaptations	4
Experimental/Experimental films - United States	137
Religious films	54
Educational & Instructional/Educational films	5837
Educational & Instructional	9955
Romance	648
Performance	571
Experimental/Experimental films - India	2
Fantasy & Science Fiction/Science fiction films	324
Archival, Cinemagazines & Newsreels	1667
Documentary/Documentary films - Germany	402
Childrens Films/Children's films - Japan	30
Archival, Cinemagazines & Newsreels/Newsreels - France	28
Erotica	98
Animation/Animated films - New Zealand	9
Archival, Cinemagazines & Newsreels/Newsreels - Australia	297
Animation/Puppet animation	20
Childrens Films/Children's films - New Zealand	7
Childrens Films/Children's films - Canada	140
Animation/Animated films - Yugoslavia	19
Documentary/Documentary films - South Africa	34
Childrens Films/Children's films - Hungary	8
Animation/Animation - Juvenile films	170
Animation/Computer animation	240
Courtroom, Crime, Espionage & Thrillers/Crime films	252
Courtroom, Crime, Espionage & Thrillers/Film noir	120
Animation/Animated films - Czechoslovakia	83
Courtroom, Crime, Espionage & Thrillers/Gangster films	142
Courtroom, Crime, Espionage & Thrillers/Detective and mystery films	206
Animation/Animated films - Bulgaria	17
Biographical/Autobiographies	24
Animation/Animated films - Poland	13
Drama/New wave films	3
Experimental	1221
Documentary/Documentary films - Great Britain	2925
Action & Adventure/Swashbucklers	15
Educational & Instructional/Instructional	6104
Experimental/Experimental films - Soviet Union	12
Courtroom, Crime, Espionage & Thrillers/Courtroom films and programs	44
Horror	406
Archival, Cinemagazines & Newsreels/Newsreels - United States	131
Amateur & Student Films/Student films - Australia	1548
Courtroom, Crime, Espionage & Thrillers/Spy films	55
Documentary/Documentary films - Japan	112
Animation/Animated films - Belgium	5
Documentary/Documentary films - Lebanon	2
Comedy/Black comedy	249
Comedy/Romantic comedy	67
Comedy/Farce	44
Animation/Pixillation animation	3
Drama/New wave films/New wave films - France	18
Animation/Computer animation/Machinima	1
Historical films	299
Drama/Psychodrama	127
Documentary/Documentary films - Australia	5754
Documentary	16317
Biographical/Biography	4
Horror/Vampire films	56
Animation/Cutout animation	70
Performance/Ballet - Performance	42
Courtroom, Crime, Espionage & Thrillers/Caper drama	34
Documentary/Documentary films - Denmark	29
Adaptations	2919
Comedy/Screwball comedies	60
Drama/Melodrama	210
Archival, Cinemagazines & Newsreels/Interviews	432
Experimental/Experimental films - France	24
Animation/Abstract animation	11
War films	282
Action & Adventure/Adventure films	4
Experimental/Experimental films - Canada	64
Animation/Clay etching	1
Animation/Cameraless animation	3
Animation/Computer animation/2-D computer animation	73
Drama/Road movies	109
Animation/Animated films - Hungary	15
Performance/Opera  -  Performance	55
Performance/Music - Performance	428
Documentary/Documentary films - China	24
Animation/Animated films - Japan	94
Experimental/Experimental films - Czech Republic	5
Childrens Films/Children 0-6	765
Animation/Animated films - Germany	27
Comedy/Satire	254
Biographical	1597
Courtroom, Crime, Espionage & Thrillers	1033
Archival, Cinemagazines & Newsreels/Archival materials	1631
Drama	1281
Childrens Films/Puppet films	260
Experimental/Experimental films - Australia	152
Documentary/Documentary films - Spain	5
Childrens Films/Children's films - Czechoslovakia	48
Childrens Films/Children 6-12	1631
Childrens Films/Children's films - Yugoslavia	4
Animation/Animated films - France	22
Archival, Cinemagazines & Newsreels/Newsreels - Great Britain	4
Archival, Cinemagazines & Newsreels/Cinemagazines	699
Animation/Animated films - Sweden	7
Animation/Animated films - Romania	2
Childrens Films/Children 12+	731
Action & Adventure/Martial arts films	73
Animation	3507
Documentary/Documentary films - United Nations	150
Comedy/Slapstick comedies	141
Documentary/Documentary films - Russia	1
Gay/Lesbian (Queer Cinema)	12
Westerns/Spaghetti westerns	3
Childrens Films/Children's films - Soviet Union	6
Animation/Animated films - Ireland	1
Animation/Animated films - United States	874
Fantasy & Science Fiction/Fantasy	319
Amateur & Student Films/Student films - Great Britain	12
Fantasy & Science Fiction/Extraterrestrial beings	96
Westerns	148
Animation/Animated films - Italy	26
Animation/Animated films - Australia	501
Comedy/Mockumentary	26
Animation/Animated films - Netherlands	4
Animation/Combination live action and animation	13
Courtroom, Crime, Espionage & Thrillers/Suspense	92
Courtroom, Crime, Espionage & Thrillers/Thrillers	312
Drama/Religious films	51
Adaptations/Television adaptations	68
Animation/Hand drawn	124
Documentary/Documentary films - Sweden	52
Animation/Animated films - Soviet Union	9
Childrens Films/Children's films - Australia	274
Animation/Silhouette animation	16
Documentary/Documentary films - Canada	1270
Childrens Films/Children's films - France	11
Action & Adventure/Action films	264
Biographical/Video diary	43
Childrens Films/Children's films - Iran	2
Action & Adventure	318
Animation/Manga	30
Animation/Animated films - Great Britain	349
Animation/Clay animation	123
Comedy/Parody	20
Amateur & Student Films	1442
Animation/Still animation	2
Animation/Animated films - Canada	330
Musicals	455
Documentary/Documentary films - India	117
Documentary/Documentary films - Soviet Union	13
Documentary/Documentary films - New Zealand	195
Animation/Animated films - Switzerland	1
Courtroom, Crime, Espionage & Thrillers/Prison films	85
Documentary/Documentary films - Malaysia	34
Drama/Soap operas	19
Comedy	1859
Animation/Computer animation/3-D computer animation	67
Documentary/Docudrama	363
Childrens Films/Children's films - United States	765
	9258
Comedy/Political satire	46
Archival, Cinemagazines & Newsreels/Speeches, addresses, etc.	33
Documentary/Documentary films - Norway	10
Childrens Films	3447
Animation/Animated films - Spain	5
Childrens Films/Children's films - Germany	18
Animation/Animated films - China	10
Courtroom, Crime, Espionage & Thrillers/Police films	126
Horror/Creature films	11
Amateur & Student Films/Student films - United States	20
