length	total
01:31:07	1
00:17:28	1
01:48:26	1
00:06:04	2
00:06:05	11
00:06:06	2
00:06:07	11
00:06:00	199
00:06:01	2
00:06:02	7
00:06:03	5
01:03:40	1
00:06:08	6
00:06:09	2
00:03:38	7
00:03:39	5
00:03:36	11
00:03:37	8
00:03:34	5
00:03:35	7
00:03:32	5
00:03:33	9
00:03:30	19
00:03:31	11
01:18:00	67
01:55:35	1
04:01:00	1
00:35:53	2
00:22:31	2
09:00:00	1
01:38:40	1
00:13:14	2
03:52:00	3
02:00:00	229
00:01:09	3
00:01:08	7
00:13:16	4
00:01:01	7
00:01:00	40
00:01:02	2
00:01:05	1
00:01:04	7
00:01:07	6
00:01:06	4
01:12:00	60
00:02:19	8
00:02:18	9
00:02:17	9
00:02:16	1
00:02:15	6
00:02:14	7
00:02:13	6
00:02:12	7
00:02:11	7
00:02:10	8
02:02:00	55
03:54:00	1
00:07:03	7
00:07:02	7
00:07:01	4
00:07:00	220
00:07:07	7
00:07:06	4
00:07:05	12
00:07:04	3
00:07:09	2
00:07:08	3
01:23:13	1
00:00:11	1
00:00:10	2
00:00:13	2
00:20:58	15
00:00:15	7
00:00:17	1
00:00:16	1
00:00:19	3
00:20:52	12
00:20:51	3
00:20:50	27
00:20:57	10
00:20:55	4
00:47:40	3
00:04:08	9
00:04:09	1
00:04:06	2
00:04:07	10
00:04:04	3
00:04:05	3
00:04:02	7
00:04:03	2
00:04:00	128
00:04:01	6
00:11:40	30
00:05:04	3
00:25:30	26
00:11:43	16
00:05:01	1
00:05:00	172
00:05:03	12
00:05:02	2
00:11:48	18
00:11:49	1
00:25:38	3
00:25:39	3
00:05:09	3
00:05:08	11
00:09:01	2
00:09:00	379
00:09:03	13
00:09:02	22
00:09:05	10
00:09:04	6
00:09:07	11
00:09:06	2
00:42:22	2
00:09:08	13
00:42:20	1
01:39:48	1
00:42:25	1
00:22:19	2
00:22:18	9
01:36:53	1
01:36:55	1
01:36:57	1
01:00:33	1
00:22:11	2
00:22:10	7
00:22:13	14
00:22:12	6
00:22:15	9
00:22:17	6
06:26:00	1
00:50:07	1
00:50:05	1
00:50:03	3
00:50:02	3
00:50:00	554
02:06:00	48
00:50:09	1
00:50:08	1
01:14:38	1
02:06:06	1
00:24:13	4
00:24:12	7
00:24:11	1
00:24:10	11
00:24:17	3
01:11:48	1
00:24:15	9
00:24:19	3
00:24:18	10
00:39:24	1
00:08:47	13
00:08:44	4
00:08:45	31
00:08:42	17
00:08:43	11
00:08:40	13
00:08:41	7
03:17:00	1
00:08:48	15
00:08:49	3
00:21:36	2
00:21:37	11
00:21:34	2
00:21:35	9
00:21:32	14
03:56:03	1
00:21:30	18
00:21:31	2
00:21:38	6
01:35:35	1
00:26:15	10
00:26:17	7
00:26:10	4
00:26:13	4
00:26:12	8
00:26:18	4
00:17:59	1
00:17:58	5
00:17:55	12
00:17:57	10
00:17:56	1
00:54:43	1
00:17:50	15
00:17:53	12
00:17:52	4
00:33:17	1
00:11:31	1
00:33:15	2
00:33:14	1
00:53:48	1
00:33:10	3
00:53:47	1
00:53:45	1
00:51:37	3
00:53:40	1
00:18:06	1
00:51:36	1
01:32:40	1
01:10:40	1
00:51:31	1
00:11:34	1
00:51:33	2
01:46:16	1
01:46:13	1
00:55:41	1
00:55:42	1
00:55:43	1
02:22:00	17
00:55:45	1
00:55:46	1
05:00:00	16
02:22:08	1
00:31:55	1
00:31:57	8
00:31:56	1
00:31:50	5
00:31:53	1
00:31:59	1
00:31:58	1
04:17:00	1
00:37:58	1
00:37:57	3
00:37:55	1
01:33:48	1
02:09:37	1
02:41:00	14
02:25:00	20
00:52:45	2
01:42:00	144
00:52:47	5
00:52:40	2
00:52:43	2
00:52:42	1
00:28:35	9
00:28:37	14
00:28:36	2
00:28:31	1
00:28:30	24
00:28:33	13
00:28:32	7
00:38:05	2
00:28:38	5
02:23:00	18
00:38:07	1
01:44:00	151
01:34:58	1
01:44:05	1
01:30:26	1
07:00:00	5
01:30:22	1
00:58:11	1
01:27:50	1
01:30:28	1
01:50:10	1
00:29:54	1
00:29:55	6
00:29:56	1
00:29:57	8
00:29:50	4
00:29:51	2
00:29:52	5
00:29:53	3
00:29:58	3
02:20:00	32
01:35:19	1
02:01:32	1
00:06:19	2
02:01:31	1
01:48:14	1
02:21:00	21
00:06:13	5
00:06:12	9
00:06:11	5
00:05:28	7
00:06:17	5
00:06:16	3
00:06:15	7
00:06:14	4
00:05:27	8
01:03:53	2
01:21:30	1
00:03:29	3
00:03:28	8
00:03:25	19
00:03:24	10
00:03:27	6
00:03:26	10
00:03:21	11
00:03:20	20
00:03:23	10
00:03:22	17
04:41:00	1
01:18:13	1
00:25:37	9
01:44:43	1
00:24:21	3
00:49:50	1
01:38:50	2
00:49:55	1
01:49:28	1
16:39:00	1
03:35:00	8
00:01:38	2
00:01:39	5
01:49:33	1
00:01:35	5
00:01:36	7
00:01:37	7
00:01:30	10
00:01:31	2
00:01:32	2
00:01:33	4
03:20:55	1
02:04:22	1
00:00:24	14
00:00:25	1
00:00:26	3
00:00:27	3
00:00:20	5
00:00:21	1
00:20:28	3
00:20:29	2
00:20:26	1
00:20:27	11
00:20:25	15
00:00:28	3
00:00:29	3
00:20:20	6
00:20:21	2
00:04:19	5
00:04:18	10
00:04:15	7
00:04:14	4
00:04:17	7
00:04:16	5
00:04:11	5
00:04:10	16
00:04:13	10
00:04:12	12
00:11:57	22
00:25:20	22
00:11:55	6
00:25:22	4
00:11:53	8
00:11:52	14
00:11:51	3
00:11:50	12
00:25:29	4
01:41:27	1
01:41:22	1
00:11:59	1
00:11:58	3
00:09:34	2
00:42:38	1
00:09:36	3
00:09:37	17
00:09:30	36
00:09:31	4
00:09:32	16
01:39:31	1
00:42:30	3
01:16:42	1
01:16:43	1
00:09:38	16
00:09:39	9
00:42:37	1
00:22:28	3
00:22:29	1
00:22:24	1
00:22:25	9
00:22:26	2
00:22:27	9
02:15:59	1
00:22:21	1
00:22:22	3
00:22:23	2
00:47:58	1
00:47:59	2
00:47:52	1
00:47:53	1
08:46:00	1
01:17:35	2
00:39:38	2
00:39:30	2
00:39:35	1
05:55:00	2
00:08:55	15
00:08:54	11
00:08:57	12
00:08:56	5
00:08:51	3
00:08:50	19
00:08:53	27
00:08:52	11
00:08:59	6
00:08:58	13
00:05:38	7
00:05:39	5
00:21:27	3
00:21:26	1
00:21:21	3
00:21:20	7
00:21:23	18
00:21:22	7
00:05:30	28
00:05:31	3
00:05:32	9
00:05:33	18
00:05:34	2
00:05:35	6
00:05:36	4
00:05:37	6
00:18:21	4
00:18:20	27
01:23:18	1
00:18:23	7
05:03:00	2
01:32:27	1
00:18:25	14
00:18:24	1
00:53:59	1
00:06:51	1
00:53:55	2
00:18:26	4
00:53:50	2
00:53:53	1
00:28:44	3
07:27:00	1
00:19:56	2
00:28:46	1
06:08:00	2
02:17:00	28
00:28:47	5
05:05:00	2
01:46:08	1
01:37:48	1
00:28:40	13
01:46:00	140
00:28:41	3
00:55:57	1
00:55:56	1
00:00:12	2
00:55:53	2
00:28:42	7
00:55:50	1
00:28:43	7
00:55:58	1
00:26:28	6
00:20:53	8
08:44:00	1
00:00:18	1
00:26:20	12
00:26:21	1
00:26:22	5
00:26:23	13
00:26:24	2
00:26:25	11
00:26:26	1
00:26:27	10
01:20:08	1
01:04:54	1
01:37:47	1
08:42:00	2
03:09:00	1
06:54:12	1
00:26:42	5
01:42:32	1
00:26:43	5
00:10:52	18
00:48:40	2
00:12:59	3
00:48:47	1
00:48:45	1
00:12:52	10
00:12:53	15
00:12:50	26
00:12:51	2
00:12:56	1
00:12:57	14
00:12:54	5
00:10:55	16
01:20:07	1
07:05:00	2
01:12:32	1
00:10:57	22
01:30:35	1
01:30:37	2
00:29:48	2
01:28:48	1
00:30:00	1266
00:29:43	8
00:29:42	3
01:16:45	1
00:29:40	5
00:29:47	2
00:29:46	1
00:29:45	7
02:01:21	1
00:05:05	11
01:40:45	1
01:48:00	111
00:11:42	8
00:05:06	4
06:00:00	3
00:11:44	2
00:11:45	18
00:03:10	9
00:03:11	9
00:03:12	12
00:03:13	16
00:03:14	11
00:25:34	1
00:03:16	6
00:03:17	10
00:03:18	7
00:03:19	6
00:11:47	10
00:28:08	3
00:28:09	1
