place_of_production	total
Switzerland	34
Sudan	1
China	226
Thailand	3
Denmark	79
Japan	390
Korea, Democratic People's Republic Of	1
Botswana	1
Philippines	1
Germany (West)	332
Cyprus	1
Mexico	12
Germany	296
Portugal	1
South Africa	47
Peru	1
Serbia	2
Poland	61
Palestinian Territory, Occupied	9
Singapore	5
Venezuela	1
Ukraine	1
Libyan Arab Jamahiriya	1
Cayman Islands	1
Scotland	6
Argentina	7
Israel	9
Vietnam	3
Estonia	1
United States	12532
Australia	12925
Soviet Union	123
Federation Square/Melbourne/VIC/Australia	1
France	1439
Brazil	5
Ethiopia	1
Colombia	1
Indonesia	17
Egypt	18
United Kingdom	7183
New Zealand	377
Turkey	3
Germany (East)	1
India	153
Czechoslovakia	107
Tanzania, United Republic Of	1
Nigeria	6
Unknown	1060
Norway	25
Romania	8
Greece	18
Lebanon	10
Hong Kong	57
Trinidad And Tobago	1
Papua New Guinea	7
Cuba	16
Austria	31
SA/Australia	1
Algeria	1
Chile	1
Senegal	2
Melbourne/VIC/Australia	19
Kenya	2
Jamaica	6
Ireland	34
Afghanistan	2
VIC/Australia	408
QLD/Australia	1
Panama	1
Ghana	7
Taiwan, Province Of China	14
Cote D'ivoire	2
NSW/Australia	1
Bulgaria	17
Iran, Islamic Republic of	37
Pakistan	1
Spain	52
Macedonia, The Former Yugoslav Republic Of	2
Iceland	9
Zambia	1
Yugoslavia	32
Various	11
Belgium	40
Czech Republic	8
Korea, Republic Of	5
Easter Island/Chile	1
Russia (Federation)	10
Tunisia	3
Wales	1
Canada	2529
Slovenia	4
Netherlands	62
Malaysia	41
Sweden	144
East Timor	2
	500
Rochester/NY/United States	1
Finland	10
Italy	252
Hungary	57
