subject_group	total
History/Blake, Audrey	1
Agriculture, Business, Commerce & Industry/Mechanization	8
Crime, Espionage, Justice, Police & Prisons/Women prisoners	25
Advertising, Film, Journalism, Mass Media & TV/United States. Congress. House. Committee on Un-American Activities	3
Advertising, Film, Journalism, Mass Media & TV/Abbott, Bud, 1895-1974	1
Crafts & Visual Arts/Video art	61
Economics, Philosophy, Politics, Religion & Sociology/Hunger	25
Economics, Philosophy, Politics, Religion & Sociology/Race discrimination - Germany	5
People/Delahunty, Mary	3
Climate, Environment, Natural Resources & Disasters/Wilderness survival	45
Food, Health, Lifestyle, Medicine, Psychology & Safety/Stress in adolescence	16
People/Rimbaud, Arthur, 1854-1891	3
Mathematics, Science & Technology/Saturn (Planet)	10
History/Greece - History - 1967-1974	5
Hobbies, Recreation & Sport/College sports	6
Armed Forces, Military, War & Weapons/Nuclear warfare - Social aspects	24
Music & Performing Arts/Lemonheads (Musical group)	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Moral development in children	38
Education, Instruction, Teaching & Schools/Teaching - Methodology	205
History/Castro, Fidel, 1927-	18
Mathematics, Science & Technology/Capacitors	3
Mathematics, Science & Technology/Bases (Chemistry)	7
People/Sennett, Mack	3
Music & Performing Arts/Dance - India	10
Animals & Wildlife/Camouflage (Biology)	5
Advertising, Film, Journalism, Mass Media & TV/Radio waves	22
Music & Performing Arts/Comedians	36
Education, Instruction, Teaching & Schools/Spatial perception - Study and teaching	8
History/De Groot, Francis, 1888-1969	1
Literature/English literature - History and criticism	67
Economics, Philosophy, Politics, Religion & Sociology/Gautama Buddha	7
Communications, Infrastructure, & Transport/Seafaring life	15
Anthropology, Ethnology, Exploration & Travel/Family - India	17
Armed Forces, Military, War & Weapons/Nuclear warfare	57
Food, Health, Lifestyle, Medicine, Psychology & Safety/Public health - Germany (West)	5
Food, Health, Lifestyle, Medicine, Psychology & Safety/Fashion - Italy	7
History/Berlin Wall, Berlin, Germany, 1961-1989	26
People/Onus, William Townsend (Bill) 1906 - 1968	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Children - Language	46
Economics, Philosophy, Politics, Religion & Sociology/Indonesia - Religion	13
History/World War, 1939-1945 -- England -- London	3
Anthropology, Ethnology, Exploration & Travel/Indigenous peoples - Social life and customs	35
Music & Performing Arts/Theater - Germany	3
People/Edward I, King of England, 1239-1307	1
